x,y,z,dirx,diry,dirz
-6.566168908,-0.150000002,0,1,0,0
-5.258321816,-0.150000002,0,1,0,0
-3.950474724,-0.150000002,0,1,0,0
-2.642627632,-0.150000002,0,1,0,0
-1.33478054,-0.150000002,0,1,0,0
-0.026933448,-0.150000002,0,1,0,0
0.007593061,-0.149755935,0,0.99793033,0.064304409,0
0.039921647,-0.143189245,0,0.946591496,0.322435327,0
0.069927516,-0.129434047,0,0.869839839,0.493334221,0
0.098317396,-0.110720321,0,0.793700738,0.608308424,0
0.122882393,-0.088035471,0,0.657543321,0.753416738,0
0.140011,-0.061761087,0,0.411877598,0.911239181,0
0.148445417,-0.033022883,0,0.15436147,0.988014441,0
0.150000002,-0.003783514,0,0,1,0
0.150000002,1.121616417,0,0,1,0
0.150000002,2.247016347,0,0,1,0
0.150000002,3.372416278,0,0,1,0
0.150000002,4.497816208,0,0,1,0
0.150000002,5.623216139,0,0,1,0
0.150000002,6.748616069,0,0,1,0
